post_id,name,brand,slug,detail_url,image_filename,button_latency_cable_ms,button_latency_dongle_ms,button_latency_bluetooth_ms,stick_latency_cable_ms,stick_latency_dongle_ms,stick_latency_bluetooth_ms,latscore_wired,latscore_wireless,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,platforms,interfaces,price,date_published,tags,image_downloaded
255,Leadjoy Xeno pro,Leadjoy,leadjoy-xeno-pro,https://gamepadla.com/leadjoy-xeno-pro.html,255_leadjoy-xeno-pro.webp,2.44,6.01,8.05,2.26,6.79,8.08,A+,A,1.43,5.605,13.33,2.46,Android;iOS;Switch,Cable;Dongle;Bluetooth,$ 69.99,2026-09-14T13:12:15+03:00,android;ios;switch;tmr,yes
274,Machenike F1 Black,Machenike,machenike-f1-black,https://gamepadla.com/machenike-f1-black.html,274_machenike-f1-black.webp,1.23,1.79,,2.19,3.22,,A+,A+,1.07,2.1075,4.17,0.32,Windows,Cable;Dongle,,2026-09-18T07:58:32+03:00,windows,yes
271,Ultimate 3E For Xbox,8BitDo,ultimate-3e-for-xbox,https://gamepadla.com/ultimate-3e-for-xbox.html,271_ultimate-3e-for-xbox.webp,2.73,4.57,16.62,1.99,3.34,15.61,A+,A+,1.18,7.476666666666667,26.17,2.98,Windows;Xbox One;Xbox S/X,Cable;Dongle;Bluetooth,$ 150.00,2026-09-12T06:57:07+03:00,windows;xbox_one;xbox_series,yes
272,Mobapad C2 Lite,Mobapad,mobapad-c2-lite,https://gamepadla.com/mobapad-c2-lite.html,272_mobapad-c2-lite.webp,7.03,,8.58,21.38,,29.75,C,D,2.75,16.4675,65.04,9.8,,Cable;Bluetooth,,,,yes
270,Beitong Kunpeng 70 6D,Beitong,beitong-kunpeng-70-6d,https://gamepadla.com/beitong-kunpeng-70-6d.html,270_beitong-kunpeng-70-6d.webp,1.27,4.18,16.3,1.61,3.72,12.97,A+,A+,0.97,6.675000000000001,34.39,5.39,,Cable;Dongle;Bluetooth,,,,yes
269,Fantech Zenith Pro,Fantech,fantech-zenith-pro-wgp18,https://gamepadla.com/fantech-zenith-pro-wgp18.html,269_fantech-zenith-pro-wgp18.webp,6.48,13.25,,8.41,32.29,,A,D,4.16,15.1075,36.41,3.71,Linux;Switch;Windows,Cable;Dongle,$ 39.80,,hall;linux;switch;windows,yes
268,GameSir Stargazer,GameSir,gamesir-stargazer,https://gamepadla.com/gamesir-stargazer.html,268_gamesir-stargazer.webp,2.14,5.7,15.14,2.34,5.97,15.74,A+,A,1.3,7.838333333333334,51.45,8.59,,Cable;Dongle;Bluetooth,,2026-09-12T23:48:17+03:00,,yes
267,ROG Raikiri II Pro PC,Asus,raikiri-ii-pro-pc,https://gamepadla.com/raikiri-ii-pro-pc.html,267_raikiri-ii-pro-pc.webp,0.92,1.09,,0.89,1.7,,A+,A+,0.64,1.15,2.3,0.3,iOS;Windows,Cable;Dongle,$ 210.00,2026-08-15T13:59:40+03:00,display;ios;tmr;verified;windows,yes
242,Gulikit ES Max,Gulikit,gulikit-es-max,https://gamepadla.com/gulikit-es-max.html,242_gulikit-es-max.webp,1.88,5.26,4.19,2.75,5.74,5.02,A+,A,0.74,4.032380952380953,25.13,3.97,Android;iOS;Linux;Switch;Windows,Cable;Dongle;Bluetooth,$ 49.99,2026-08-18T15:33:45+03:00,android;ios;linux;macos;switch;tmr;verified;windows,yes
257,EasySMX Dune 8K,EasySMX,easysmx-dune-8k,https://gamepadla.com/easysmx-dune-8k.html,257_easysmx-dune-8k.webp,1.52,2.18,26.25,5.93,8.22,31.57,A+,A,1.18,12.611666666666666,53.16,5.98,Windows,Cable;Dongle;Bluetooth,$ 99.90,,windows,yes
